trip_distance,weekday,hour,day_rank
17.44,Monday,1.0833333333333333,1
17.63,Monday,1.1833333333333333,1
15.76,Monday,1.1,1
16.139,Monday,1.7333333333333334,1
17.215,Monday,1.2333333333333334,1
17.42,Monday,1.25,1
15.71,Monday,1.4166666666666667,1
16.33,Monday,1.95,1
15.404,Monday,1.8166666666666667,1
21.695,Monday,1.1,1
22.08,Monday,1.3333333333333333,1
15.658,Monday,1.5,1
18.66,Monday,1.0833333333333333,1
16.17,Monday,1.35,1
16.98,Monday,1.2833333333333332,1
15.27,Monday,1.1166666666666667,1
16.79,Monday,1.1833333333333333,1
17.518,Monday,1.2333333333333334,1
15.71,Monday,1.2166666666666668,1
15.045,Monday,1.3166666666666667,1
15.3,Monday,2.6,1
15.73,Monday,2.8333333333333335,1
17.816,Monday,2.4833333333333334,1
16.85,Monday,2.65,1
16.274,Monday,2.5166666666666666,1
17.12,Monday,2.95,1
35.738,Monday,2.8166666666666664,1
15.94,Monday,2.283333333333333,1
15.09,Monday,2,1
24.14,Monday,2.1333333333333333,1
15.37,Monday,2.95,1
15.68,Monday,2.4166666666666665,1
15.05,Monday,2.0833333333333335,1
18.37,Monday,2.9,1
18.9,Monday,2.283333333333333,1
16.88,Monday,2.1166666666666667,1
19.79,Monday,3.216666666666667,1
16.43,Monday,3.85,1
17.707,Monday,3.1666666666666665,1
15.46,Monday,3.9833333333333334,1
15.03,Monday,3.0833333333333335,1
17.178,Monday,3.533333333333333,1
16.91,Monday,3.3,1
16.24,Monday,3.5833333333333335,1
17.756,Monday,3.6166666666666667,1
15.77,Monday,3.5,1
15.633,Monday,3.033333333333333,1
16.28,Monday,3.2333333333333334,1
18.51,Monday,3.3666666666666667,1
15.775,Monday,3.5,1
15.07,Monday,3.65,1
16.99,Monday,3.033333333333333,1
17.44,Monday,3.05,1
16.471,Monday,3.3833333333333333,1
15.29,Monday,3.75,1
15.81,Monday,3.8,1
15.57,Monday,3.3833333333333333,1
15.02,Monday,3.5166666666666666,1
15.17,Monday,3.1,1
15.01,Monday,3.8,1
20.94,Monday,3.783333333333333,1
18.59,Monday,4.266666666666667,1
15.62,Monday,4.483333333333333,1
17.153,Monday,4.033333333333333,1
22.288,Monday,4.4,1
15.64,Monday,4.866666666666667,1
16.14,Monday,4.816666666666666,1
17.12,Monday,4.566666666666666,1
15.78,Monday,4.766666666666667,1
17.55,Monday,4.2,1
15.85,Monday,4.716666666666667,1
16,Monday,4.833333333333333,1
43.022,Monday,4.083333333333333,1
17.87,Monday,4.3,1
20.11,Monday,4.966666666666667,1
16.11,Monday,4.733333333333333,1
18.19,Monday,4.466666666666667,1
22.508,Monday,4.85,1
15.01,Monday,4.733333333333333,1
20.17,Monday,4.016666666666667,1
16.609,Monday,4.6,1
17.76,Monday,4.066666666666666,1
18.74,Monday,4.25,1
15.68,Monday,4.95,1
21.793,Monday,4.05,1
15.66,Monday,4.633333333333333,1
15.83,Monday,4.866666666666667,1
18.54,Monday,4.833333333333333,1
16.09,Monday,4.4,1
16.21,Monday,5.366666666666666,1
16.73,Monday,5.166666666666667,1
15.601,Monday,5.983333333333333,1
15.49,Monday,5.016666666666667,1
16.5,Monday,5.616666666666667,1
16.93,Monday,5.65,1
17.64,Monday,5.983333333333333,1
16.37,Monday,5.5,1
15.18,Monday,5,1
15.77,Monday,5.216666666666667,1
16.41,Monday,5.383333333333334,1
16.02,Monday,5.116666666666666,1
17.429,Monday,5.35,1
17.85,Monday,5.95,1
19.03,Monday,5.6,1
16.291,Monday,5.883333333333333,1
15.45,Monday,5.9,1
15.05,Monday,5.183333333333334,1
19.95,Monday,5.233333333333333,1
